PROVINCE,AKP,CHP,MHP,HDP,OTHERS,VALID11,AKPP11,CHPP11,MHPP11,HDPP11,OTHERS11
ADANA,0.304,0.28600000000000003,0.231,0.146,0.03300000000000011,1171911,0.374,0.3085,0.2032,0.0795,0.03480000000000004
ADIYAMAN,0.58,0.115,0.043,0.226,0.03599999999999994,306062,0.6729999999999999,0.1659,0.0461,0.06559999999999999,0.04939999999999998
AFYONKARAHISAR,0.523,0.16699999999999998,0.251,0.015,0.04400000000000006,426101,0.6042000000000001,0.1648,0.1864,0.0005,0.044099999999999966
AGRI,0.166,0.013999999999999999,0.027000000000000003,0.769,0.023999999999999914,202890,0.47619999999999996,0.0222,0.0222,0.43420000000000003,0.0452000000000001
AKSARAY,0.5820000000000001,0.069,0.298,0.021,0.03,200404,0.6609,0.11720000000000001,0.17980000000000002,0.0005,0.04159999999999996
AMASYA,0.45899999999999996,0.26,0.226,0.016,0.039000000000000055,211635,0.5219,0.2791,0.1503,0.0,0.04870000000000005
ANKARA,0.414,0.292,0.17800000000000002,0.055999999999999994,0.060000000000000143,2989046,0.4924,0.313,0.1464,0.01,0.03819999999999993
ANTALYA,0.353,0.325,0.217,0.07200000000000001,0.032999999999999974,1178084,0.39299999999999996,0.3322,0.2087,0.0239,0.04219999999999999
ARDAHAN,0.268,0.221,0.078,0.302,0.13099999999999995,56772,0.4022,0.3078,0.09949999999999999,0.1249,0.06560000000000002
ARTVIN,0.391,0.307,0.226,0.031,0.045,105114,0.46399999999999997,0.35369999999999996,0.1329,0.0016,0.04780000000000001
AYDIN,0.297,0.401,0.18,0.091,0.031000000000000087,632370,0.3547,0.3812,0.182,0.0381,0.043999999999999914
BALIKESIR,0.391,0.337,0.2,0.035,0.03699999999999989,766938,0.465,0.3378,0.1391,0.0088,0.049300000000000066
BARTIN,0.41600000000000004,0.302,0.18,0.017,0.085,119963,0.4817,0.2876,0.16,0.0,0.07069999999999993
BATMAN,0.18899999999999997,0.012,0.013000000000000001,0.7120000000000001,0.07400000000000005,220234,0.3713,0.067,0.0058,0.5147999999999999,0.0411
BAYBURT,0.6,0.027999999999999997,0.315,0.015,0.04200000000000003,43098,0.6339,0.038900000000000004,0.2421,0.0,0.08509999999999991
BILECIK,0.376,0.292,0.254,0.037000000000000005,0.041000000000000085,128985,0.42590000000000006,0.25379999999999997,0.2723,0.0,0.04799999999999997
BINGOL,0.47,0.016,0.028999999999999998,0.405,0.08,126560,0.6707,0.030699999999999998,0.013300000000000001,0.239,0.04630000000000024
BITLIS,0.314,0.017,0.04,0.595,0.03400000000000006,146078,0.507,0.0172,0.0318,0.4022,0.041800000000000066
BOLU,0.52,0.244,0.159,0.021,0.055999999999999946,177613,0.585,0.2005,0.161,0.0,0.05349999999999994
BURDUR,0.431,0.271,0.22899999999999998,0.019,0.05,166539,0.4899,0.2541,0.1863,0.0007000000000000001,0.06900000000000006
BURSA,0.44,0.27699999999999997,0.175,0.057999999999999996,0.05,1652628,0.5297,0.2498,0.1441,0.0165,0.059899999999999946
CANAKKALE,0.34600000000000003,0.39,0.198,0.031,0.03500000000000014,328056,0.4157,0.3946,0.146,0.0006,0.04310000000000002
CANKIRI,0.5920000000000001,0.069,0.282,0.013000000000000001,0.043999999999999914,110910,0.6559,0.0608,0.2309,0.0,0.05239999999999995
CORUM,0.5429999999999999,0.223,0.17600000000000002,0.023,0.03500000000000014,342605,0.6123,0.2401,0.10830000000000001,0.0007000000000000001,0.038600000000000134
DENIZLI,0.39799999999999996,0.348,0.18100000000000002,0.042,0.031000000000000087,598640,0.46619999999999995,0.3124,0.16940000000000002,0.0098,0.04219999999999999
DIYARBAKIR,0.14800000000000002,0.013000000000000001,0.012,0.778,0.04900000000000006,679364,0.32170000000000004,0.023399999999999997,0.0084,0.6169,0.02959999999999994
DUZCE,0.5920000000000001,0.161,0.156,0.024,0.06699999999999989,214077,0.6595,0.1242,0.1624,0.0,0.0539
EDIRNE,0.248,0.53,0.156,0.03,0.03600000000000009,264106,0.3039,0.517,0.1331,0.0011,0.04489999999999995
