,AKP,CHP,MHP,HDP,others,SUM
AKP,0.978451321,0.012490572,0.006763203,0.001435973,0.001269153,1.000410222
CHP,0.029955908,0.984209039,0.006967199,0.000490506,0.016191167,1.037813819
MHP,0.280171888,0.038774831,0.707532176,0.000684386,0.006477644,1.033640926
HDP,0.177675032,0.004021044,0.009204129,0.836314721,0.00304941,1.030264337
others,0.758146973,0.083021084,0.070257735,0.005092618,0.109593144,1.026111554
,,,,,,
ABS,AKP,CHP,MHP,HDP,others,SUM
0.41,40.10005425,0.511903464,0.277177599,0.058850761,0.052013922,41
0.25,0.721610843,23.70870914,0.167833545,0.011815849,0.390030624,25
0.163,4.418170436,0.611459677,11.15742825,0.010792424,0.102149211,16.3
0.132,2.276416191,0.051518609,0.117925562,10.71506984,0.039069795,13.2
0.046,3.398729955,0.37217882,0.31496145,0.022829917,0.491299858,4.6
