city,AKP,CHP,MHP,HDP,others,turnout,registered,voted,valid,region
Adana,30.38,28.55,23.08,14.58,1.54,84.8,1478646.0,1254393.0,1258204.0,Akdeniz
Adıyaman,58.0,11.49,4.34,22.63,1.95,82.3,380986.0,313440.0,313638.0,Güneydoğu
Afyonkarahisar,52.3,16.75,25.09,1.48,2.17,88.6,494043.0,437826.0,434691.0,İç Anadolu
Ağrı,16.63,1.35,2.72,76.91,0.82,82.7,291735.0,241134.0,242644.0,Doğu Anadolu
Aksaray,58.31,6.93,29.86,2.12,1.32,82.4,254884.0,209965.0,209674.0,İç Anadolu
Amasya,45.87,26.01,22.62,1.61,2.22,89.6,238598.0,213886.0,214386.0,Karadeniz
Ankara,41.4,29.17,17.82,5.57,2.57,88.1,3705057.0,3265996.0,3278477.0,İç Anadolu
Antalya,35.28,32.48,21.69,7.24,1.31,85.0,1569305.0,1333719.0,1336940.0,Akdeniz
Ardahan,26.76,22.09,7.84,30.15,8.13,83.9,68917.0,57809.0,57583.0,Karadeniz
Artvin,39.97,31.4,23.17,3.19,1.76,85.1,129961.0,110630.0,108139.0,Karadeniz
Aydın,29.72,40.07,17.95,9.1,9.1,87.0,773066.0,672827.0,673935.0,Ege
Balıkesir,40.06,34.48,20.49,3.54,1.86,88.5,906421.0,801740.0,785401.0,Marmara
Bartın,42.62,30.94,18.43,1.71,4.78,86.7,142950.0,123902.0,119600.0,Karadeniz
Batman,18.89,1.16,1.23,71.4,5.46,90.2,310582.0,280188.0,269688.0,Güneydoğu
Bayburt,60.02,2.79,31.5,1.52,2.86,85.0,54224.0,46076.0,46219.0,Karadeniz
Bilecik,38.44,29.86,26.01,3.77,2.22,90.4,148650.0,134404.0,131743.0,Marmara
Bingöl,48.1,1.64,3.01,41.46,4.75,80.0,170761.0,136595.0,130568.0,Güneydoğu
Bitlis,32.08,1.74,4.1,60.79,1.11,84.5,188176.0,159045.0,154349.0,Güneydoğu
Bolu,51.95,24.44,15.94,2.09,3.52,88.2,213001.0,187897.0,188403.0,Karadeniz
Burdur,44.13,27.74,23.46,1.95,2.68,89.2,191550.0,170837.0,166273.0,Akdeniz
Bursa,43.99,27.71,17.49,5.85,3.17,87.9,2029175.0,1783055.0,1790561.0,Marmara
Çanakkale,34.56,39.04,19.77,3.07,1.03,89.4,387210.0,346304.0,348019.0,Ege
Çankırı,59.2,6.9,28.17,1.28,2.39,84.3,131744.0,111022.0,110745.0,İç Anadolu
Çorum,59.13,24.28,19.21,2.47,2.15,87.7,386225.0,338618.0,311323.0,İç Anadolu
Denizli,39.78,34.76,18.14,4.18,1.41,89.9,713270.0,641115.0,641528.0,Ege
Diyarbakır,14.81,1.31,1.24,77.73,3.38,86.8,950641.0,825403.0,824246.0,Güneydoğu
Düzce,59.17,16.09,15.62,2.44,3.97,88.8,253534.0,225204.0,225320.0,Karadeniz
Edirne,24.77,52.94,15.62,3.05,1.47,87.7,304373.0,266821.0,268017.0,Marmara
Elazığ,52.85,6.89,20.59,15.36,2.92,83.3,403871.0,336334.0,326781.0,Doğu Anadolu
Erzincan,49.22,25.34,16.53,5.85,1.91,86.8,156072.0,135527.0,132892.0,Doğu Anadolu
Erzurum,51.97,3.07,23.16,17.84,2.36,84.9,485133.0,411812.0,412771.0,Doğu Anadolu
Eskişehir,36.24,38.81,16.67,3.96,2.28,88.3,625994.0,552835.0,542016.0,İç Anadolu
Gaziantep,47.03,16.37,17.78,15.32,2.05,82.4,1131063.0,931622.0,933388.0,Güneydoğu
Giresun,53.52,21.85,18.33,1.43,2.43,83.2,321040.0,266962.0,267010.0,Karadeniz
Gümüşhane,58.06,5.54,31.68,1.98,2.98,76.6,98182.0,75246.0,73175.0,Karadeniz
Hakkari,9.7,1.39,2.66,84.88,0.36,93.2,154784.0,144267.0,145631.0,Güneydoğu
Hatay,38.06,35.9,13.91,6.89,2.27,85.6,987567.0,845099.0,847035.0,Güneydoğu
Iğdır,12.01,3.99,27.32,57.25,0.54,83.1,115783.0,96246.0,94824.0,Doğu Anadolu
Isparta,45.31,22.68,27.3,2.28,2.72,87.0,304480.0,265038.0,258959.0,Akdeniz
İstanbul,41.11,29.14,11.03,12.6,2.55,86.3,10237112.0,8832058.0,8487049.0,Marmara
İzmir,26.76,44.77,13.61,10.55,1.1,87.4,3086974.0,2697497.0,2708469.0,Ege
Kahramanmaraş,60.79,8.69,19.7,5.49,3.6,84.8,696645.0,590412.0,591538.0,Güneydoğu
