city,AKP,CHP,MHP,HDP,others,turnout,registered,voted,valid,region
Adana,37.3,29.43,19.27,11.91,0.63,86.0,1519463.0,1306498.0,1289975.0,Akdeniz
Adıyaman,69.07,11.39,3.07,14.31,0.64,85.5,390512.0,333846.0,328716.0,Güneydoğu
Afyonkarahisar,63.21,16.25,16.73,1.02,0.78,89.2,507375.0,452794.0,443780.0,İç Anadolu
Ağrı,27.71,1.71,1.68,66.8,0.65,75.7,295350.0,223709.0,219708.0,Doğu Anadolu
Aksaray,71.21,7.62,17.77,1.25,0.59,84.8,260313.0,220802.0,217255.0,İç Anadolu
Amasya,51.66,24.32,20.2,1.25,0.65,90.5,244937.0,221617.0,218326.0,Karadeniz
Ankara,48.98,30.42,14.0,4.43,0.72,89.8,3837280.0,3445309.0,3409414.0,İç Anadolu
Antalya,41.71,32.83,17.31,5.89,0.47,86.8,1626868.0,1411802.0,1393596.0,Akdeniz
Ardahan,36.65,28.69,8.84,22.08,1.03,81.5,70363.0,57319.0,56095.0,Karadeniz
Artvin,45.49,34.86,13.32,2.49,0.91,84.2,132350.0,111402.0,109437.0,Karadeniz
Aydın,34.44,40.15,15.53,7.3,0.47,87.6,795990.0,697632.0,686272.0,Ege
Balıkesir,45.8,34.15,14.57,2.74,0.84,88.7,932017.0,827073.0,816493.0,Marmara
Bartın,53.39,29.81,10.34,1.3,1.95,86.4,146690.0,126806.0,123288.0,Karadeniz
Batman,29.14,1.6,0.81,66.81,0.55,86.0,319729.0,274991.0,266742.0,Güneydoğu
Bayburt,72.91,2.43,20.66,1.05,1.4,86.1,53921.0,46417.0,45843.0,Karadeniz
Bilecik,46.58,33.35,13.86,2.85,0.91,90.6,152666.0,138279.0,136092.0,Marmara
Bingöl,64.45,1.84,1.9,29.1,0.82,78.9,174813.0,137869.0,132655.0,Güneydoğu
Bitlis,44.15,3.12,2.08,48.61,0.53,81.2,194314.0,157843.0,153270.0,Güneydoğu
Bolu,62.64,21.41,10.78,1.55,1.12,89.4,218240.0,195196.0,192244.0,Karadeniz
