city,town,AKP,CHP,MHP,HDP,others
Adana,ALADAĞ,57.02,11.91,27.67,0.35,1.02
Adana,CEYHAN,33.1,27.7,21.82,15.43,0.48
Adana,ÇUKUROVA,28.06,43.19,21.55,5.35,0.57
Adana,FEKE,54.69,15.14,25.56,0.27,1.0
Adana,İMAMOĞLU,53.09,18.22,24.42,1.68,1.0
Adana,KARAİSALI,59.73,9.45,27.77,0.41,0.75
Adana,KARATAŞ,27.17,40.15,26.17,4.94,0.34
Adana,KOZAN,50.13,18.25,28.12,0.61,0.99
Adana,POZANTI,52.71,20.43,22.92,1.0,0.98
Adana,SAİMBEYLİ,54.62,11.06,30.83,0.35,0.79
Adana,SARIÇAM,44.69,16.19,32.97,3.87,0.67
Adana,SEYHAN,32.24,32.95,14.57,18.32,0.63
Adana,TUFANBEYLİ,47.31,19.73,28.93,0.61,0.89
Adana,YUMURTALIK,37.26,26.59,31.62,1.53,0.8
Adana,YÜREĞİR,42.75,24.65,15.48,15.1,0.6
Adıyaman,BESNİ,67.43,16.54,4.2,8.83,1.03
Adıyaman,ÇELİKHAN,65.63,9.44,1.49,20.74,1.19
Adıyaman,GERGER,85.12,3.36,0.96,7.67,1.02
Adıyaman,GÖLBAŞI,58.12,25.11,8.03,5.99,0.63
Adıyaman,KAHTA,82.78,2.24,0.64,12.52,0.66
Adıyaman,Merkez,64.19,11.97,2.91,19.0,0.64
Adıyaman,SAMSAT,86.19,2.85,2.32,5.81,1.97
Adıyaman,SİNCİK,95.94,0.85,0.6,1.55,0.42
Adıyaman,TUT,66.21,20.46,5.51,4.75,0.6
Afyonkarahisar,BAŞMAKÇI,48.93,29.83,18.19,0.32,0.7
Afyonkarahisar,BAYAT,62.03,17.62,14.99,0.65,1.89
Afyonkarahisar,BOLVADİN,71.59,10.13,15.71,0.43,0.67
Afyonkarahisar,ÇAY,54.12,23.24,19.36,0.54,0.66
Afyonkarahisar,ÇOBANLAR,64.61,11.89,21.55,0.18,0.55
Afyonkarahisar,DAZKIRI,51.72,24.24,20.77,0.36,0.69
Afyonkarahisar,DİNAR,50.16,22.26,23.68,0.59,1.05
Afyonkarahisar,EMİRDAĞ,57.46,23.71,15.21,0.72,0.76
Afyonkarahisar,EVCİLER,47.28,29.23,20.63,0.29,0.48
Afyonkarahisar,HOCALAR,66.07,9.14,20.62,0.24,0.91
Afyonkarahisar,İHSANİYE,70.66,11.31,15.6,0.22,0.6
Afyonkarahisar,İSCEHİSAR,77.28,6.44,11.58,0.31,2.0
Afyonkarahisar,KIZILÖREN,47.97,14.11,33.35,0.23,1.52
Afyonkarahisar,Merkez,66.54,13.58,16.69,0.74,0.83
Afyonkarahisar,SANDIKLI,63.48,13.92,18.59,0.41,1.14
Afyonkarahisar,SİNANPAŞA,69.65,13.16,13.92,0.24,0.85
Afyonkarahisar,SULTANDAĞI,30.65,48.19,16.82,1.2,0.8
Afyonkarahisar,ŞUHUT,66.89,17.86,12.11,0.16,0.75
Ağrı,DİYADİN,12.96,1.33,0.82,82.33,0.68
Ağrı,DOĞUBAYAZIT,11.0,1.18,0.92,84.92,0.67
Ağrı,ELEŞKİRT,57.02,1.35,1.49,37.94,0.5
Ağrı,HAMUR,36.18,1.54,0.55,59.32,0.82
Ağrı,Merkez,43.89,1.67,2.4,49.67,0.79
Ağrı,PATNOS,16.08,0.85,0.76,80.58,0.53
Ağrı,TAŞLIÇAY,20.92,1.42,2.65,73.1,0.47
Ağrı,TUTAK,26.41,1.26,3.19,67.37,0.63
Aksaray,AĞAÇÖREN,76.18,5.1,15.27,0.1,0.73
Aksaray,ESKİL,77.78,6.03,13.87,0.12,0.65
Aksaray,GÜLAĞAÇ,65.72,19.16,11.75,0.86,0.62
Aksaray,GÜZELYURT,70.37,15.26,11.61,0.33,0.42
Aksaray,Merkez,71.5,6.39,19.22,0.92,0.6
Aksaray,ORTAKÖY,71.24,7.47,17.96,0.43,0.61
Aksaray,SARIYAHŞİ,64.2,10.64,19.93,0.38,2.05
Amasya,GÖYNÜCEK,59.88,21.48,14.57,1.15,0.65
Amasya,GÜMÜŞHACIKÖY,38.44,45.59,11.8,1.19,0.85
Amasya,HAMAMÖZÜ,57.98,24.54,13.45,0.18,1.04
Amasya,Merkez,51.42,22.87,22.7,0.81,0.59
Amasya,MERZİFON,43.62,34.71,18.22,0.92,0.75
Amasya,SULUOVA,70.22,11.33,14.81,0.54,1.11
Amasya,TAŞOVA,49.42,12.52,34.72,0.38,0.64
Ankara,AKYURT,76.8,7.97,11.11,1.32,1.38
Ankara,BALA,64.12,14.26,11.29,8.3,0.5
Ankara,ÇANKAYA,22.41,55.89,12.71,6.98,0.75
Ankara,ELMADAĞ,45.64,29.64,17.79,3.66,1.69
Ankara,ETİMESGUT,45.59,30.49,17.87,4.05,0.69
Ankara,EVREN,58.48,19.85,18.43,0.34,0.74
Ankara,GÖLBAŞI,52.77,22.86,17.48,4.44,0.79
Ankara,HAYMANA,69.54,10.17,6.55,11.38,0.92
Ankara,MAMAK,49.46,32.71,11.79,3.96,0.64
Ankara,POLATLI,56.5,19.2,17.54,4.41,0.78
Ankara,SİNCAN,64.82,14.68,15.33,2.83,1.07
Ankara,ŞEREFLİKOÇHİSAR,54.88,19.97,18.78,3.96,0.55
Ankara,AKYURT,0.0,0.0,0.0,0.0,0.0
Ankara,ALTINDAĞ,63.18,21.53,9.96,3.06,0.86
Ankara,AYAŞ,54.78,19.26,18.7,2.11,2.39
Ankara,BEYPAZARI,59.85,13.96,22.75,0.7,0.84
Ankara,ÇAMLIDERE,80.63,8.83,8.13,0.14,0.66
Ankara,ÇUBUK,75.72,10.43,10.22,1.15,1.14
Ankara,ELMADAĞ,0.0,0.0,0.0,0.0,0.0
Ankara,GÜDÜL,67.14,14.4,15.11,0.29,0.88
Ankara,KALECİK,64.34,17.41,14.79,0.63,0.77
Ankara,KAZAN,68.19,11.24,16.89,1.72,0.78
Ankara,KEÇİÖREN,55.5,24.38,15.11,2.92,0.83
Ankara,KIZILCAHAMAM,67.02,10.6,18.99,0.35,1.11
Ankara,NALLIHAN,52.39,24.06,19.56,0.4,0.84
Ankara,PURSAKLAR,75.49,9.31,11.73,1.06,1.2
Ankara,YENİMAHALLE,42.72,36.49,14.35,4.39,0.68
Antalya,AKSEKİ,54.32,30.24,11.47,0.37,0.8
Antalya,AKSU,47.49,23.11,21.29,5.82,0.65
Antalya,ALANYA,49.44,22.16,22.02,3.88,0.54
Antalya,DEMRE,48.27,27.32,19.13,1.08,1.87
Antalya,DÖŞEMEALTI,47.84,29.62,15.39,4.74,0.6
Antalya,ELMALI,49.54,28.87,16.58,1.58,0.95
Antalya,FİNİKE,42.93,33.05,19.25,2.22,0.47
Antalya,GAZİPAŞA,40.4,33.58,21.25,1.21,0.82
Antalya,GÜNDOĞMUŞ,55.78,18.8,19.04,0.6,1.4
Antalya,İBRADI,48.99,39.08,8.17,0.42,1.27
Antalya,KAŞ,42.62,35.12,16.85,2.21,0.54
Antalya,KEMER,37.5,33.91,20.73,6.23,0.36
Antalya,KEPEZ,44.98,26.36,16.08,10.7,0.48
Antalya,KONYAALTI,27.39,50.71,13.91,6.19,0.45
Antalya,KORKUTELİ,51.91,24.5,17.86,1.27,2.29
Antalya,KUMLUCA,45.11,29.06,19.88,3.66,0.52
Antalya,MANAVGAT,43.96,31.31,19.15,3.17,0.57
Antalya,MURATPAŞA,30.88,46.91,14.43,6.02,0.45
Antalya,SERİK,42.54,29.7,23.72,1.74,0.57
Ardahan,ÇILDIR,39.3,38.61,15.11,1.55,1.01
Ardahan,DAMAL,8.99,79.49,1.68,6.64,1.05
Ardahan,GÖLE,47.39,14.48,2.14,31.5,1.96
Ardahan,HANAK,28.01,53.22,10.06,5.03,0.79
Ardahan,Merkez,29.03,23.32,12.54,31.99,0.79
Ardahan,POSOF,62.79,22.35,8.15,3.19,0.85
Artvin,ARDANUÇ,33.23,49.0,11.94,1.34,1.02
Artvin,ARHAVİ,51.78,33.6,9.81,1.2,1.28
Artvin,BORÇKA,57.06,24.6,13.49,1.31,1.08
Artvin,HOPA,33.41,45.84,12.12,5.69,0.74
Artvin,Merkez,39.79,39.27,15.66,1.4,0.91
Artvin,MURGUL,38.64,35.15,21.98,1.01,0.57
Artvin,ŞAVŞAT,38.69,41.45,13.26,1.37,0.99
Artvin,YUSUFELİ,67.19,13.37,14.43,0.28,0.96
Aydın,AYDIN MERKEZ,0.0,0.0,0.0,0.0,0.0
Aydın,BOZDOĞAN,41.41,38.23,15.11,0.63,0.89
Aydın,BUHARKENT,40.22,36.87,16.2,3.3,0.58
Aydın,ÇİNE,41.08,42.99,11.29,0.85,0.84
Aydın,DİDİM,24.89,47.51,12.27,13.38,0.64
Aydın,EFELER,33.4,39.93,16.64,7.7,0.56
Aydın,GERMENCİK,27.46,36.84,16.49,16.61,0.52
Aydın,İNCİRLİOVA,39.09,36.44,16.62,5.62,0.44
Aydın,KARACASU,36.8,43.52,15.14,0.58,0.93
Aydın,KARPUZLU,54.0,31.03,10.36,0.3,0.87
Aydın,KOÇARLI,45.53,37.86,12.37,1.5,0.58
Aydın,KÖŞK,58.12,17.8,15.42,5.26,0.87
Aydın,KUŞADASI,23.66,54.04,13.17,7.19,0.72
Aydın,KUYUCAK,42.94,41.56,12.0,0.3,0.6
Aydın,NAZİLLİ,35.16,38.17,18.19,5.74,0.59
Aydın,SÖKE,26.45,41.51,18.79,11.24,0.44
Aydın,SULTANHİSAR,34.8,40.0,16.02,6.62,0.46
Aydın,YENİPAZAR,44.61,34.91,17.03,0.89,0.41
Balıkesir,ALTIEYLÜL,52.31,27.26,16.38,1.6,0.72
Balıkesir,AYVALIK,24.79,54.33,13.09,5.77,0.76
Balıkesir,BALIKESİR MERKEZ,0.0,0.0,0.0,0.0,0.0
Balıkesir,BALYA,43.81,37.58,12.92,1.25,0.95
Balıkesir,BANDIRMA,36.66,42.88,14.77,3.36,0.78
Balıkesir,BİGADİÇ,58.56,23.07,13.82,0.9,1.65
Balıkesir,BURHANİYE,34.17,46.0,12.72,4.74,0.64
Balıkesir,DURSUNBEY,77.9,8.27,9.08,0.29,2.11
Balıkesir,EDREMİT,31.63,46.85,14.11,5.0,0.71
Balıkesir,ERDEK,31.72,55.92,8.55,1.82,0.7
Balıkesir,GÖMEÇ,33.68,44.46,14.21,5.44,0.48
Balıkesir,GÖNEN,46.73,34.34,14.61,1.55,0.75
Balıkesir,HAVRAN,55.26,25.64,15.11,0.3,1.0
Balıkesir,İVRİNDİ,59.44,21.37,14.73,0.37,1.18
Balıkesir,KARESİ,52.29,26.04,17.91,1.05,0.99
Balıkesir,KEPSUT,68.02,14.12,13.27,0.48,1.76
Balıkesir,MANYAS,37.76,43.71,14.91,0.86,0.69
Balıkesir,MARMARA,44.76,38.96,10.51,3.98,0.36
Balıkesir,SAVAŞTEPE,55.49,22.33,18.73,0.68,0.62
Balıkesir,SINDIRGI,52.64,26.6,16.63,0.27,1.28
Balıkesir,SUSURLUK,42.49,39.96,13.85,0.99,0.8
Bartın,AMASRA,39.44,45.27,8.97,1.18,1.77
Bartın,KURUCAŞİLE,42.52,40.13,9.55,0.52,2.64
Bartın,Merkez,53.35,29.5,11.32,0.87,2.03
Bartın,ULUS,65.25,21.59,6.2,0.46,1.7
Batman,BEŞİRİ,29.86,0.49,0.32,67.81,0.41
Batman,GERCÜŞ,41.26,1.27,1.07,54.35,0.63
Batman,HASANKEYF,41.83,3.46,1.01,51.73,0.47
Batman,KOZLUK,27.98,1.24,0.35,69.37,0.32
Batman,Merkez,26.02,0.95,0.63,70.75,0.61
Batman,SASON,52.94,5.27,1.19,38.25,0.64
Bayburt,AYDINTEPE,72.97,1.93,21.27,0.1,1.56
Bayburt,DEMİRÖZÜ,82.67,3.67,10.78,0.45,1.13
Bayburt,Merkez,72.12,1.84,22.4,0.65,1.45
Bilecik,BOZÜYÜK,41.24,36.45,15.56,3.78,0.95
Bilecik,GÖLPAZARI,49.72,35.35,9.42,0.65,0.85
Bilecik,İNHİSAR,48.39,36.91,8.8,0.82,1.2
Bilecik,Merkez,45.93,35.16,13.62,2.24,0.75
Bilecik,OSMANELİ,53.63,28.27,13.35,0.78,1.57
Bilecik,PAZARYERİ,52.58,26.93,14.56,2.43,0.6
Bilecik,SÖĞÜT,50.25,29.54,14.34,1.52,2.09
Bilecik,YENİPAZAR,57.68,28.23,10.3,0.17,0.89
Bingöl,ADAKLI,59.61,3.06,2.09,31.03,1.2
Bingöl,GENÇ,81.25,0.49,1.1,14.84,0.57
Bingöl,KARLIOVA,28.19,0.8,0.87,67.88,0.6
Bingöl,KİĞI,37.37,11.3,5.08,42.45,0.7
Bingöl,Merkez,66.31,1.07,1.99,27.72,1.06
Bingöl,SOLHAN,82.13,0.44,1.33,13.94,0.72
Bingöl,YAYLADERE,23.56,7.57,4.58,61.41,0.85
Bingöl,YEDİSU,28.01,18.86,1.11,48.67,0.74
Bitlis,ADİLCEVAZ,39.55,3.39,3.88,51.26,0.58
Bitlis,AHLAT,37.48,2.36,4.87,53.81,0.44
Bitlis,GÜROYMAK,39.43,1.43,0.51,56.65,0.46
Bitlis,HİZAN,38.34,0.99,0.63,56.94,0.84
Bitlis,Merkez,48.9,4.36,2.12,42.44,0.66
Bitlis,MUTKİ,73.31,4.74,0.88,18.67,0.68
Bitlis,TATVAN,39.02,2.19,1.35,55.62,0.49
Bolu,DÖRTDİVAN,85.97,4.66,5.78,0.17,1.16
Bolu,GEREDE,87.42,4.18,5.43,0.23,1.09
Bolu,GÖYNÜK,74.72,11.35,8.23,0.29,1.74
Bolu,KIBRISCIK,49.75,36.04,8.17,0.45,1.47
Bolu,MENGEN,55.79,31.6,8.14,0.37,1.2
Bolu,Merkez,56.48,26.04,12.57,1.59,1.03
Bolu,MUDURNU,60.01,21.7,12.5,0.43,1.2
Bolu,SEBEN,56.79,21.69,16.71,0.36,0.9
Bolu,YENİÇAĞA,79.75,9.86,4.78,0.16,3.23
Burdur,AĞLASUN,65.15,14.72,15.81,0.19,1.01
Burdur,ALTINYAYLA,72.93,8.92,12.85,0.28,0.98
Burdur,BUCAK,61.16,12.01,22.74,0.55,1.12
Burdur,ÇAVDIR,48.2,25.61,21.74,0.4,0.71
Burdur,ÇELTİKÇİ,62.53,16.98,15.8,0.15,1.15
Burdur,GÖLHİSAR,64.97,14.32,16.85,0.29,0.77
Burdur,KARAMANLI,40.56,37.07,17.61,0.98,1.18
Burdur,KEMER,64.15,16.91,14.33,0.04,1.83
Burdur,Merkez,41.85,33.92,19.07,1.21,1.36
Burdur,TEFENNİ,41.96,24.13,29.73,0.37,0.78
Burdur,YEŞİLOVA,35.02,43.29,16.21,0.42,1.06
Bursa,BÜYÜKORHAN,73.26,11.34,9.56,0.42,1.22
Bursa,GEMLİK,46.94,32.93,12.49,4.33,1.42
Bursa,GÜRSU,66.08,13.94,13.05,4.25,1.17
Bursa,HARMANCIK,63.37,18.47,12.67,0.37,1.77
Bursa,İNEGÖL,70.37,12.98,8.63,4.52,1.85
Bursa,İZNİK,50.8,28.97,15.19,0.93,1.81
Bursa,KARACABEY,45.73,30.41,16.17,3.92,1.35
Bursa,KELES,66.84,15.12,12.36,0.29,1.64
Bursa,KESTEL,54.75,25.26,12.83,4.38,1.24
Bursa,MUDANYA,38.13,44.76,12.32,2.21,0.54
Bursa,MUSTAFAKEMALPAŞA,51.7,28.29,15.63,1.03,0.79
Bursa,NİLÜFER,39.08,42.06,13.17,3.53,0.56
Bursa,ORHANELİ,60.07,17.49,16.8,0.26,2.06
Bursa,ORHANGAZİ,50.7,30.22,13.83,2.05,1.23
Bursa,OSMANGAZİ,55.22,26.59,12.18,3.41,0.95
Bursa,YENİŞEHİR,50.11,25.52,16.81,4.21,1.27
Bursa,YILDIRIM,58.88,19.82,11.47,6.92,0.93
Çanakkale,AYVACIK,38.99,40.63,15.3,1.6,0.69
Çanakkale,BAYRAMİÇ,37.23,44.45,13.6,0.73,0.69
Çanakkale,BİGA,52.56,30.29,12.78,1.29,0.68
Çanakkale,BOZCAADA,24.42,53.47,13.77,6.37,0.75
Çanakkale,ÇAN,45.18,33.37,18.27,0.42,0.49
Çanakkale,ECEABAT,23.64,59.4,11.98,1.87,0.65
Çanakkale,EZİNE,36.4,44.01,14.23,1.28,1.01
Çanakkale,GELİBOLU,30.61,50.95,13.88,1.83,0.58
Çanakkale,GÖKÇEADA,36.87,29.94,17.59,12.06,0.75
Çanakkale,LAPSEKİ,48.65,30.71,16.34,1.05,0.62
Çanakkale,Merkez,29.67,46.08,18.0,3.87,0.51
Çanakkale,YENİCE,57.64,24.32,14.05,0.4,0.72
Çankırı,ATKARACALAR,75.52,4.46,16.37,0.13,1.43
Çankırı,BAYRAMÖREN,79.88,5.23,10.96,0.06,0.96
Çankırı,ÇERKEŞ,64.95,11.49,19.27,0.4,1.11
Çankırı,ELDİVAN,65.9,6.73,23.41,0.13,1.61
Çankırı,ILGAZ,70.45,5.16,20.69,0.12,1.11
Çankırı,KIZILIRMAK,72.66,4.09,20.58,0.27,0.59
Çankırı,KORGUN,77.39,3.71,16.12,0.14,0.78
Çankırı,KURŞUNLU,69.21,10.2,17.31,0.42,0.75
Çankırı,Merkez,65.56,5.04,26.09,0.63,0.98
Çankırı,ORTA,85.74,1.84,9.38,0.07,1.2
Çankırı,ŞABANÖZÜ,61.05,12.69,23.06,0.35,0.56
Çankırı,YAPRAKLI,84.56,1.49,10.28,0.23,0.89
Çorum,ALACA,63.3,18.84,14.31,1.14,0.63
Çorum,BAYAT,77.15,7.11,11.79,0.26,0.99
Çorum,BOĞAZKALE,75.69,7.69,11.73,0.93,1.13
Çorum,DODURGA,51.71,25.32,17.9,0.28,1.36
Çorum,İSKİLİP,73.22,7.41,15.04,0.27,0.97
Çorum,KARGI,67.57,15.97,12.08,0.22,0.78
Çorum,LAÇİN,59.82,20.06,15.29,0.58,0.98
Çorum,MECİTÖZÜ,53.27,35.85,7.24,1.58,0.39
Çorum,Merkez,57.02,27.53,10.7,2.29,0.9
