href,text
http://secim.zaman.com.tr/secim-kasim-2015/adana-1,Adana
http://secim.zaman.com.tr/secim-kasim-2015/adiyaman-2,Adıyaman
http://secim.zaman.com.tr/secim-kasim-2015/afyonkarahisar-3,Afyonkarahisar
http://secim.zaman.com.tr/secim-kasim-2015/agri-4,Ağrı
http://secim.zaman.com.tr/secim-kasim-2015/aksaray-68,Aksaray
http://secim.zaman.com.tr/secim-kasim-2015/amasya-5,Amasya
http://secim.zaman.com.tr/secim-kasim-2015/ankara1-106,Ankara 1. Bölge
http://secim.zaman.com.tr/secim-kasim-2015/ankara2-107,Ankara 2. Bölge
http://secim.zaman.com.tr/secim-kasim-2015/antalya-7,Antalya
http://secim.zaman.com.tr/secim-kasim-2015/ardahan-75,Ardahan
http://secim.zaman.com.tr/secim-kasim-2015/artvin-8,Artvin
http://secim.zaman.com.tr/secim-kasim-2015/aydin-9,Aydın
http://secim.zaman.com.tr/secim-kasim-2015/balikesir-10,Balıkesir
http://secim.zaman.com.tr/secim-kasim-2015/bartin-74,Bartın
http://secim.zaman.com.tr/secim-kasim-2015/batman-72,Batman
http://secim.zaman.com.tr/secim-kasim-2015/bayburt-69,Bayburt
http://secim.zaman.com.tr/secim-kasim-2015/bilecik-11,Bilecik
http://secim.zaman.com.tr/secim-kasim-2015/bingol-12,Bingöl
http://secim.zaman.com.tr/secim-kasim-2015/bitlis-13,Bitlis
http://secim.zaman.com.tr/secim-kasim-2015/bolu-14,Bolu
http://secim.zaman.com.tr/secim-kasim-2015/burdur-15,Burdur
http://secim.zaman.com.tr/secim-kasim-2015/bursa-16,Bursa
http://secim.zaman.com.tr/secim-kasim-2015/canakkale-17,Çanakkale
http://secim.zaman.com.tr/secim-kasim-2015/cankiri-18,Çankırı
http://secim.zaman.com.tr/secim-kasim-2015/corum-19,Çorum
http://secim.zaman.com.tr/secim-kasim-2015/denizli-20,Denizli
http://secim.zaman.com.tr/secim-kasim-2015/diyarbakir-21,Diyarbakır
http://secim.zaman.com.tr/secim-kasim-2015/duzce-81,Düzce
http://secim.zaman.com.tr/secim-kasim-2015/edirne-22,Edirne
http://secim.zaman.com.tr/secim-kasim-2015/elazig-23,Elazığ
http://secim.zaman.com.tr/secim-kasim-2015/erzincan-24,Erzincan
http://secim.zaman.com.tr/secim-kasim-2015/erzurum-25,Erzurum
http://secim.zaman.com.tr/secim-kasim-2015/eskisehir-26,Eskişehir
http://secim.zaman.com.tr/secim-kasim-2015/gaziantep-27,Gaziantep
http://secim.zaman.com.tr/secim-kasim-2015/giresun-28,Giresun
http://secim.zaman.com.tr/secim-kasim-2015/gumushane-29,Gümüşhane
http://secim.zaman.com.tr/secim-kasim-2015/hakkari-30,Hakkari
http://secim.zaman.com.tr/secim-kasim-2015/hatay-31,Hatay
http://secim.zaman.com.tr/secim-kasim-2015/igdir-76,Iğdır
http://secim.zaman.com.tr/secim-kasim-2015/isparta-32,Isparta
http://secim.zaman.com.tr/secim-kasim-2015/istanbul1-101,İstanbul 1. Bölge
